Month/Day, Joe Biden, Elizabeth Warren, Bernie Sanders, Pete Buttigieg, Kamala Harris
9/13,26.8,16.8,17.3,4.8,6.5
9/14,26.4,16.6,17.0,5.0,6.4
9/15,26.4,16.6,17.0,5.0,6.4
9/16,26.2,17.0,16.8,5.0,6.2
9/17,27.0,18.3,16.3,5.3,6.0
9/18,28.0,17.5,16.4,5.6,6.1
9/19,28.8,18.3,16.5,5.8,5.7
9/20,28.8,18.3,16.5,5.8,5.7
9/21,30.2,19.8,16.6,6.2,6.0
9/22,30.2,19.8,16.6,6.2,6.0
9/23,30.3,19.2,16.3,6.0,5.8
9/24,29.6,19.7,17.1,6.0,5.6
9/25,29.0,21.4,17.3,5.8,5.0
9/26,28.4,21.1,17.1,5.5,5.0
9/27,28.4,21.1,17.1,5.5,5.0
9/28,27.8,21.3,17.5,5.3,4.7
9/29,27.8,21.3,17.5,5.3,4.7
9/30,27.8,21.5,17.5,5.3,4.7
10/1,27.2,23.0,17.8,5.4,4.6
