Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-10-23, the article 'CITIZEN by CNN' has a sentiment score of Sentiment(polarity=0.09503552877568619, subjectivity=0.4083928276447962)
On 2019-10-23, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.045625208125208136, subjectivity=0.424835477022977)
On 2019-10-24, the article 'White House trade adviser declines to say whether investigating Bidens was mentioned during China trade talks' has a sentiment score of Sentiment(polarity=0.08198019152564606, subjectivity=0.22684835366653547)
On 2019-01-21, the article 'Here are the 18 Democrats who are running for president' has a sentiment score of Sentiment(polarity=0.10648253871408236, subjectivity=0.30694935936546686)
On 2019-10-22, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.03938426513614485, subjectivity=0.38218291941976124)
On 2019-10-24, the article 'Trump's impeachment defense has come to this' has a sentiment score of Sentiment(polarity=0.04026170798898073, subjectivity=0.41982979142070054)
On 2019-10-24, the article 'Amy Klobuchar qualifies for November Democratic debate' has a sentiment score of Sentiment(polarity=0.14517045454545455, subjectivity=0.40126262626262627)
On 2019-10-24, the article 'Biden allies intensify push for super PAC after lackluster fundraising quarter' has a sentiment score of Sentiment(polarity=0.11979766610201396, subjectivity=0.38939284145805875)
On 2019-10-24, the article 'Pete Buttigieg gets aggressive as he looks to break out of the middle' has a sentiment score of Sentiment(polarity=0.1693628724216959, subjectivity=0.41266734572616925)
On 2019-10-23, the article 'How two businessmen hustled to profit from access to Rudy Giuliani and the Trump administration' has a sentiment score of Sentiment(polarity=0.0616107689561298, subjectivity=0.413000959521578)
On 2019-10-23, the article 'Ukrainian President and advisers discussed pressure from Trump weeks before taking office' has a sentiment score of Sentiment(polarity=0.099, subjectivity=0.3666666666666667)
On 2019-10-24, the article 'Rudy Giuliani is looking for a defense attorney, sources say' has a sentiment score of Sentiment(polarity=0.002550505050505041, subjectivity=0.36549242424242423)
On 2019-10-23, the article 'Trump tests out impeachment response strategies as allies look for unified defense' has a sentiment score of Sentiment(polarity=0.03443674381174381, subjectivity=0.3475679413179413)
On 2019-10-23, the article 'Republicans focus on Democrats -- not Trump -- in impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04840561224489796, subjectivity=0.39948979591836736)
On 2019-10-23, the article ''No quid pro quo': How Trump wants to sidetrack impeachment' has a sentiment score of Sentiment(polarity=0.06221571855374674, subjectivity=0.39570117675751476)
On 2019-10-23, the article ''Lynching' isn't a euphemism for unwanted criticism. It's a real act of violence' has a sentiment score of Sentiment(polarity=-0.003432354250111268, subjectivity=0.3974020916777924)
On 2019-10-22, the article 'CNN's latest poll on 2020 Democrats' has a sentiment score of Sentiment(polarity=0.15183020967973576, subjectivity=0.5007371617324226)
On 2019-10-23, the article 'Expect Trump to fight as if his life depends on it' has a sentiment score of Sentiment(polarity=0.14915674603174603, subjectivity=0.4784226190476191)
On 2019-09-28, the article 'Trump's Ukraine scandal: Who's who?' has a sentiment score of Sentiment(polarity=0.041145488498429666, subjectivity=0.29928242509124864)
On 2019-10-23, the article 'Giuliani associates Fruman and Parnas plead not guilty to campaign finance charges' has a sentiment score of Sentiment(polarity=0.05146164021164021, subjectivity=0.3989748677248677)
On 2019-10-23, the article 'Trump is doing Biden a big favor' has a sentiment score of Sentiment(polarity=0.15082143832143835, subjectivity=0.466083616083616)
On 2019-10-23, the article 'Cory Booker says he's the alternative to Joe Biden: 'Look no further'' has a sentiment score of Sentiment(polarity=0.20827314498367128, subjectivity=0.4398272195640617)
On 2019-10-23, the article 'Melania Trump receives warm welcome on first solo Capitol Hill visit amid Syria, impeachment drama' has a sentiment score of Sentiment(polarity=0.19502551020408165, subjectivity=0.41347789115646266)
On 2019-10-23, the article 'Washington Post: Trump administration has tried to cut billions in foreign aid to fight corruption despite calling it a priority' has a sentiment score of Sentiment(polarity=0.08056277056277056, subjectivity=0.33774891774891774)
On 2019-10-23, the article 'The most important number in the CNN 2020 poll isn't the one you think it is' has a sentiment score of Sentiment(polarity=0.17012689924454633, subjectivity=0.4306081826670061)
On 2019-10-23, the article 'Intelligence Committee member says diplomat's 'startling' testimony was 'most detailed, specific' so far' has a sentiment score of Sentiment(polarity=0.10384012539184952, subjectivity=0.41567398119122245)
On 2019-10-23, the article '5 explosive lines from Bill Taylor's statement' has a sentiment score of Sentiment(polarity=0.013419117647058826, subjectivity=0.3007965686274509)
On 2019-10-23, the article 'How much more of Donald Trump can Republicans possibly take?' has a sentiment score of Sentiment(polarity=0.017165318957771784, subjectivity=0.36611560347409394)
On 2019-10-22, the article 'US diplomat directly ties Trump to Ukraine quid pro quo' has a sentiment score of Sentiment(polarity=0.02091599670171099, subjectivity=0.37758204493918784)
On 2019-10-23, the article 'CNN Poll: Biden's lead in Democratic primary hits widest margin since April' has a sentiment score of Sentiment(polarity=0.197192835254633, subjectivity=0.4766805292086192)
On 2019-10-23, the article 'Dramatic deposition rocks Trump's impeachment defense' has a sentiment score of Sentiment(polarity=0.06484031491384432, subjectivity=0.4324524658348186)
